Name,Address,Latitude,Longitude
Jyoti Nagar Police Station,"C-324, Loni Rd, Kardam Puri Extension, Kardam Puri, Shahdara, Delhi, 110093",28.6734298,77.2898858
Karawal Nagar Police Station,"Kamal Vihar Extn, Shiv Vihar, Karawal Nagar, Delhi, 110094",28.7214306,77.2894569
Khajuri Khas Police Station,"opposite Govt. School Khajuri, Sonia Vihar, New Delhi, Delhi, 110094",28.6138954,77.2090057
Nand Nagri Police Station,"Depot, Near, A Block, Nand Nagri, Mandoli, New Delhi, Delhi, 110093",28.6138954,77.2090057
New Usman Pur Police Station,"GT Road, New Usmanpur, Shahdara, New Delhi, Delhi, 110053",28.6138954,77.2090057
Seelampur Police Station,"New Seelampur Phase II, New Seelampur, Shahdara, Delhi, 110031",28.6734298,77.2898858
Shastri Park Police Station,"Shastri Park, Delhi",28.6684339,77.2505301
Sonia Vihar Police Station,"Sabhapur Extension, Sabhapur, Sonia Vihar, Delhi, 110094",28.7199257,77.2481823
Welcome Police Station,"Subhash Park, Shahdara, Delhi, 110032",28.6734298,77.2898858
Adarsh Nagar Police Station,"Mahatma Gandhi Marg, Transport Centre, Azadpur, Delhi, 110052",28.7057821,77.1819488
Ashok Vihar Police Station,"POCKET B, Deep Cinema Rd, Ashok Vihar II, Wazirpur, Phase 2, Ashok Vihar, Delhi, 110052",28.6885171,77.1739339
Mahendra Park Police Station,"Mahendra Park, Jahangirpuri, Delhi, 110033",28.7259717,77.162658
Maurya Enclave Police Station,"Maurya Enclave, Maurya Enclave, Block FP, Poorvi Pitampura, Pitam Pura, Delhi, 110034",28.7032676,77.1322497
Bharat Nagar Police Station,"Kokiwala Bagh, Phase 4, Near Deep Chand Bandhu Hospital, Nimri Colony, Ashok Vihar, Delhi, 110052",28.6885171,77.1739339
Model Town Police Station,"Ring Road, Model Town, Delhi, 110009",28.7076731,77.1739776
Jahangir Puri Police Station,"Bhalswa Jahangirpuri, Jahangirpuri, Delhi, 110033",28.7376117,77.1682167
Mukherji Nagar Police Station,"No.22, Banda Bahadur Marg, Hakikat Nagar, GTB Nagar, New Delhi, Delhi, 110009",28.6138954,77.2090057
Keshav Puram Police Station,"Dr. Satpal Sachdeva Marg, Keshav Puram, Tri Nagar, New Delhi, Delhi, 110035",28.6138954,77.2090057
Rani Bagh Police Station,"Deepali Chowk, Outer Ring Rd, Rani Bagh, New Delhi, Delhi, 110034",28.6138954,77.2090057
Shalimar Bagh Police Station,"H-732, Gyan Shakti Mandir Marg, Block BA, West Shalimar Bagh, Shalimar Bagh, Delhi, 110088",28.71401125,77.15152636588242
