Address,Latitude,Longitude,Category,Incident
"Akurdi Chowk Bus Stop, Chinchwad Gaon Rd, Kalbhor Nagar, MIDC, Chinchwad, Pimpri-Chinchwad, Maharashtra 411035, India",18.638365,73.83224341481679,Touching /Groping," I was in the bus when a man standing tried to put his dick on my hand while i was sitting.  
						  More Information »
« Less Information
"
"University Enclave, New Delhi, Delhi 110007, India",28.6138954,77.2090057,Ogling/Facial Expressions/Staring," Catcalls in college fest.  
						  More Information »
« Less Information
"
"Laxmi Nagar, Block S1, Nanakpura, Shakarpur, New Delhi, Delhi 110092, India",28.63739,77.2707250475435,Commenting," one of my friend was eve teased  
						  More Information »
« Less Information
"
"Dakshini Pitampura, Pitampura, Delhi, India",28.6995123,77.1301047,Indecent exposure," my friend was walking for her english tuitions when a man on a scooter flashed her  
						  More Information »
« Less Information
"
"Kerala 679335, India",10.7371278,76.27906397637167,Sexual Invites," When I was travelling with my girl friends to . The bus halted somewhere for a min break. We were roaming and taking pictures and suddenly a...  
						  More Information »
« Less Information
"
"Block A, Sector 23, Noida, Uttar Pradesh 201307, India",28.59115915,77.35253531282802,Ogling/Facial Expressions/Staring," this man aged around 30 was following me  
						  More Information »
« Less Information
"
"Govandi, Govandi Station Over Bridge, Tata Nagar, Govandi East, Mumbai, Maharashtra 400088, India",19.0526286,72.9197627,Ogling/Facial Expressions/Staring," 3-4 men staring and started commenting. Sort of eve teasing.  
						  More Information »
« Less Information
"
"Pernambut Bus Stand, Subbaiah St, Pernambut, Tamil Nadu 635810, India",12.9366728,78.7187469,Touching /Groping," In the crowd of thousands in Tirupati temple my male friend was harassed in the queue.  
						  More Information »
« Less Information
"
"surendranagar relway station, Railway Bridge, Priyadarshini Society, Dadar, Mumbai, Maharashtra 400014, India",19.0177342,72.8437523,Ogling/Facial Expressions/Staring," Blind person asked a girl to show him d way towards platfrom no. 4 bt. When girl told him the way he tried to touch her in wrong manner.  
						  More Information »
« Less Information
"
"Sindhi Camp, Jaipur, Rajasthan, India",26.9226849,75.7998222,Catcalls/Whistles," When walking here it gets dark at times in inner lanes, men keep commenting and will even find ways to touch you where they can  
						  More Information »
« Less Information
"
"Manohar Market, Hauz Qazi, Chandni Chowk, New Delhi, Delhi 110006, India",28.6138954,77.2090057,Rape / Sexual Assault," a girl says that she was raped where her clothes were torn and she was made to drink something poisonous.  
						  More Information »
« Less Information
"
"kochi, Kerala, India",9.9674277,76.2454436,Touching /Groping," while travelling in a bus,i had to stand due to nonavailability of seats.
the bus was crowded and hence everybody was standing very close,at...  
						  More Information »
« Less Information
"
"Rithala, Bhagawan Mahavir Marg, Varun Kunj, Rithala, Rohini, New Delhi, Delhi 110085, India",28.72229355,77.08052722442523,Commenting," It feels unsafe to travel alone, after such incident happened with me:(  
						  More Information »
« Less Information
"
"Malad Railway Station, Malad Footover Bridge, Vijaykar Wadi Industrial, Vijaykar Wadi, Malad West, Mumbai, Maharashtra 400064, India",19.1840129,72.8412155,Ogling/Facial Expressions/Staring," touched inappropriately at the station.  
						  More Information »
« Less Information
"
"Teen Batti Bus Stop, Walkeshwar Road, Teen Batti, Malabar Hill, Mumbai, Maharashtra 400006, India",18.9581616,72.8033665,Ogling/Facial Expressions/Staring," there is a alcohol shop in this locality where a group of boys residing at banganga stare at girls walking back home and mentally harass them....  
						  More Information »
« Less Information
"
"Vaishali metro station, Ghaziabad, Uttar Pradesh 201012, India",28.64974755,77.34013889199865,Commenting," I was waiting for the metro when 2 guys looked at me and started commenting how i have dressed and how i look.  
						  More Information »
« Less Information
"
"Frere Bridge, Grant Road West, Zoroastrian Colony, Girgaon, Mumbai, Maharashtra 400007, India",18.9543165,72.8179082,Poor / No Street Lighting," poor lighting. This area didn't have these street amps before.  
						  More Information »
« Less Information
"
"Teen Batti Bus Stop, Walkeshwar Road, Teen Batti, Malabar Hill, Mumbai, Maharashtra 400006, India",18.9581616,72.8033665,Ogling/Facial Expressions/Staring," There is a alcohol shop in this area and at night after 11 a group of boys residing in banganga come and harass girls  
						  More Information »
« Less Information
"
"Kewal Park Extension, Kewal Park, Azadpur, New Delhi, Delhi, India",28.6138954,77.2090057,Chain Snatching / Robbery," a lady's chain was snatched when she was going home  
						  More Information »
« Less Information
"
"Sant Dnyaneshwar Nagar, Bandra East, Mumbai, Maharashtra 400051, India",19.0642162,72.8534765,Catcalls/Whistles," A man was calling me names and made me uncomfortable  
						  More Information »
« Less Information
"
"Pocket C, Sidhartha Nagar, New Delhi, Delhi 110014, India",28.6138954,77.2090057,Chain Snatching / Robbery," a lady's chain was snatched when she was buying something from a street vendor.  
						  More Information »
« Less Information
"
"Ernakulam, Kerala, India",9.98408,76.2741457,Stalking," whenever i go to my parents place. i observe few men on bike always following me where ever i go. i don't know whether it is intentional or...  
						  More Information »
« Less Information
"
"Lebutala, Bowbazar, Kolkata, West Bengal, India",22.5704924,88.3615602,Touching /Groping," An unknown person touched one of my private part in my body  
						  More Information »
« Less Information
"
"Shiv Leela Apartment, Lamington Rd, Pannalal Terrace, Grant Road East, Bharat Nagar, Girgaon, Mumbai, Maharashtra 400007, India",18.9628873,72.820931,Stalking," I was getting out of the station when this guy pushed his body against me and was trying to touch me indecently.  
						  More Information »
« Less Information
"
"Rajiv Chowk Metro Station, Connaught Place, New Delhi, Delhi 110001, India",28.6314022,77.2193791,Touching /Groping," I was touched and groped while traveling in the Delhi metro train's general compartmet.  
						  More Information »
« Less Information
"
"D.Edayapatti West, Tamil Nadu, India",10.9094334,78.3665347,Sexual Invites," Bus conductor rubbing his body against mine while going around for tickets.  
						  More Information »
« Less Information
"
"Hanuman Road Area, Connaught Place, New Delhi, Delhi 110001, India",28.6314022,77.2193791,Commenting," Random comments on girls  
						  More Information »
« Less Information
"
"Huda Metro Station, Sector 29, Gurugram, Delhi 122022, India",28.5120805,77.09318,Ogling/Facial Expressions/Staring," groped inside the metro by a 40-45 year old man  
						  More Information »
« Less Information
"
"New Bus Stand Mathura, Hathras-Mathura Rd, Adarsh Nagar, Manoharpura, Mathura, Uttar Pradesh 281001, India",27.4955539,77.6855554,Poor / No Street Lighting," Mathura Highway , Not enough lights on the way during nights. So is not safe for a individual to journey alone.  
						  More Information »
« Less Information
"
"Chandrakant Dhuru Wadi, Mumbai, Maharashtra, India",19.0785451,72.878176,Indecent exposure," exposing body parts  
						  More Information »
« Less Information
"
"Manickpur - Umelman Rd, Manickpur, Vasai West, Navghar-Manikpur, Maharashtra 401202, India",19.380628,72.8236484,Touching /Groping," Once I was walking on the road (in this area) and a guy was trying to chase me or follow me.  
						  More Information »
« Less Information
"
"Agonda, Goa 403702, India",15.0411042,73.9882421,Ogling/Facial Expressions/Staring," Om Sai Beach Huts is not safe for female solo travellers. 

While the owner, Gaurav Bhagat, was drunk he told me that he and the staff were...  
						  More Information »
« Less Information
"
